Name,Disc. Date,R.A.,Dec.,z,Type,Phot.,Spec.,Radio,X-ray
SN2021csp,2/11/21,26:22.1,+05:51:33.17,0.083,Icn,,1,,
SN2021ckj,2/9/21,05:51.1,-08:35:07.57,0.143,Icn,,1,,
SN2021bxu,2/6/21,09:16.5,-23:24:45.15,0.017786,IIb,,1,,
SN2021bwq,2/5/21,28:17.1,-12:53:17.73,0.022015,Ic,,1,,
SN2021cly,2/3/21,58:37.3,-10:19:33.22,0.037,Ib,,1,,
SN2021bjk,1/30/21,01:52.2,-10:27:48.39,0.015724,Ib/c,,1,,
SN2021bmf,1/30/21,33:29.4,-06:22:49.58,0.04,Ic BL,,1,,
Gaia21ann,1/29/21,"10:11:20.483,10:11:20.4","-23:01:19.49,-23:01:19.56",,BL,,140,,
SN2021bhd,1/28/21,48:14.7,+68:05:23.21,0.005941,Ib/c,,1,,
AT2021bbn,1/24/21,49:46.3,+14:29:38.58,,BL,,1,,
Gaia21akj,1/21/21,"22:02:43.291,22:02:43.2","+42:16:39.98,+42:16:40.08",,BL,,115,,
SN2021aug,1/18/21,14:04.8,+19:25:04.71,0.03,Ic BL,,1,,
Gaia21ahi,1/15/21,"09:29:42.164,09:29:42.24","+73:04:04.56,+73:04:04.44",,BL,,61,,
Gaia21aro,1/10/21,"01:12:05.830,01:12:05.832",+22:44:38.76,,BL,,51,,
SN2021xv,1/10/21,07:32.8,+36:46:46.21,0.061,Ic BL,,1,,
SN2021vz,1/9/21,21:26.9,+36:46:04.07,"0.045,0.068",Ic,,1,,
AT2021dgz,1/8/21,12:43.8,-28:28:45.27,,BL,,1,,
SN2021nu,1/7/21,52:15.9,+14:36:28.60,0.044087,Ic,,1,,
SN2021pb,1/7/21,44:46.8,+51:41:14.62,0.033,IIb,,1,,
SN2021qv,1/7/21,29:38.9,+09:29:50.53,0.024514,Ib/c,,1,,
Gaia21acz,1/6/21,"09:58:47.250,09:58:47.28","+65:33:54.75,+65:33:54.72",,BL,,119,,
SN2021bm,1/3/21,37:47.3,+59:54:25.42,0.031517,Ic,,1,,
SN2021jw,1/3/21,17:34.2,-08:15:37.93,0.06,Ic BL,,1,,
SN2021do,1/2/21,16:56.7,+73:23:51.29,0.009346,Ic,,1,,
SN2021dx,1/2/21,19:35.0,+04:45:36.39,0.0436,Ib,,1,,
SN2021M,1/1/21,14:14.7,+35:25:23.16,0.010929,IIb,,1,,
SN2021rf,1/1/21,37:24.9,+42:58:28.48,0.027172,IIb,,1,,
SN2020adow,12/26/20,"08:33:42.266,08:33:42.24","+27:42:43.83,+27:42:43.92",0.007505,Ic BL,,1,,
SN2020adnx,12/24/20,"03:05:55.530,03:05:55.536","+41:36:31.36,+41:36:31.32",0.021001,II,,18,,
SN2020admc,12/22/20,54:06.1,-39:51:52.69,0.009637,Ib,,1,,
SN2020acyl,12/17/20,20:37.2,"+48:26:31.88,+48:26:31.92",0.03,Ic,,11,,
SN2020acty,12/15/20,22:36.0,+30:59:40.70,0.04703,Ib,,1,,
SN2020acsk,12/14/20,42:51.6,+28:59:56.63,0.029,IIb,,1,,
SN2020acdq,12/10/20,22:43.0,+26:52:04.00,0.030251,IIb,,1,,
SN2020aceh,12/10/20,35:43.8,+11:15:53.83,0.040788,IIb,,1,,
SN2020acat,12/9/20,50:41.2,-10:13:38.72,0.00793,IIb,,1,,
SN2020abxg,12/7/20,30:16.1,+57:54:15.21,0.03998,Ic,,1,,
SN2020abxl,12/7/20,04:22.8,-14:02:46.18,0.0815,Ic BL,,1,,
SN2020abxp,12/7/20,24:30.6,-11:05:04.86,0.055,Ib,,1,,
SN2020abmp,12/4/20,47:18.9,+00:24:18.29,0.058,Ic,,1,,
SN2020abqx,12/3/20,52:24.6,+67:32:51.72,,Ib,,1,,
SN2020abkp,12/2/20,05:06.5,+56:33:30.98,0.030884,IIb,,1,,
