Name,Disc. Date,R.A.,Dec.,z,Type,Phot.,Spec.,Radio,X-ray
SN2017iro,11/30/17,06:23.1,+50:43:20.20,0.006191,Ib/c,1,1,,
SN2017igt,11/17/17,"02:13:23.900,02:13:23.89","+03:23:35.58,+03:23:35.5",0.029,Ic,16,1,,
SN2017ifh,11/15/17,35:03.6,+50:26:27.90,0.039,Ic BL,2,1,,
DES17C1ffz,11/13/17,35:52.1,-26:59:29.6,0.0905,Ib/c,48,,,
SN2017ihf,11/10/17,"02:43:40.600,02:43:40.608","-24:11:52.86,-24:11:52.8",0.024764,Ib,8,1,,
SN2017hxt,11/8/17,"03:42:25.320,03:42:25.344","-55:01:12.20,-55:01:11.28",0.043,Ib,3,1,,
SN2017hyh,11/5/17,"07:10:41.070,07:10:41.04","+06:27:41.40,+06:27:41.292",0.012039,IIb,14,1,,
SN2017htp,11/1/17,26:19.5,-10:27:45.90,0.328,Ic BL,1,,,
SN2017hyf,10/27/17,"02:09:33.020,2:09:33.019,02:09:33","+21:14:56.84,+21:14:56.4648,+21:14:56.4",0.017132,Ib,13,1,,
SN2017hrg,10/22/17,02:07.7,-11:22:00.55,0.045,Ic,1,1,,
SN2017hnv,10/19/17,"23:03:21.230,23:03:21.23",+25:40:37.46,0.03,Ic,2,1,,
SN2017hix,10/13/17,"15:47:24.776,15:47:24.72,15:47:24.77","+68:47:11.26,+68:47:11.4,+68:47:11.2",0.012,Ic,20,2,,
DES17C1bzd,10/13/17,39:07.8,-26:11:28.9,0.1199,IIb,1,,,
SN2017hia,10/12/17,"01:56:09.340,1:56:09.3425","+17:38:29.17,+17:38:29.1732",0.037829,Ic,3,1,,
SN2017hje,10/11/17,"03:33:43.560,03:33:43.54","-26:10:37.58,-26:10:37.9",0.042496,Ic,10,1,,
SN2017hfw,10/7/17,"00:30:29.400,0:30:29.4105,00:30:29.405","-08:46:49.24,-08:46:49.2215,-08:46:48.972",0.018,Ic,8,1,,
SN2017hbx,10/3/17,"17:49:12.644,17:49:12.72","+25:22:20.93,+25:22:21",0.1652,Ic,8,1,,
SN2017hcb,9/23/17,36:23.7,+31:42:34.83,0.017,Ib,2,1,,
OGLE17osk,8/29/17,03:36.1,-69:37:45.90,0.109,Ib Pec,2,1,,
SN2017giq,8/27/17,"23:57:54.730,23:57:54.7344,23:57:54.74,23:57:54.73","+28:30:12.33,+28:30:12.0",0.029813,Ic,13,1,,
SN2017gip,8/27/17,"23:05:00.610,23:05:00.6144","+28:45:42.73,+28:45:42.732",0.0298,II,3,1,,
SN2017gpn,8/27/17,37:45.0,+72:31:59.00,0.0073,IIb,1,,,
SN2017gth,8/23/17,12:38.2,+05:45:58.39,0.038,IIb,1,1,,
SN2017gkk,8/19/17,"09:13:44.370,09:13:44.64,09:13:44.58","+76:28:42.40,+76:28:44.4",0.004923,IIb,23,1,,
SN2017gfh,8/18/17,"20:03:27.400,20:03:27.40","+06:59:27.20,+06:59:27.7",0.024477,IIb,4,1,,
DES17X3ct,8/16/17,25:53.4,-04:39:12.7,0.206,Ib/c?,1,,,
SN2017gbv,8/16/17,"03:42:01.371,03:42:01.368","-39:19:56.11,-39:19:56.28",0.041635,Ic,1,1,,
SN2017gfz,8/16/17,"00:12:51.890,00:12:51.8928","-32:43:53.00,-32:43:53.04",0.06,IIb,1,1,,
SN2017gax,8/14/17,"04:45:49.430,04:45:49.488","-59:14:42.56,-59:14:42.36",0.00444,Ib/c,25,1,,
SN2017gat,8/13/17,"23:53:17.032,23:53:16.8,23:53:17.04","-32:46:32.83,-32:46:33.96,-32:46:32.88",0.0231,Ic,1,1,,
SN2017ggi,8/12/17,58:52.8,-35:51:49.83,0.039,Ib,2,1,,
SN2017fwm,7/31/17,"19:12:51.968,19:12:52.08","-60:22:58.37,-60:22:58.44",0.015557,Ic,25,1,,
SN2017ful,7/26/17,"01:35:12.391,01:35:12.384","-26:04:58.83,-26:04:58.8",0.081,Ic,3,,,
SN2017fgk,7/9/17,47:49.2,+16:08:05.18,0.034,Ic BL,1,,,
SN2017eye,6/22/17,"14:37:45.110,14:37:45.12","+21:20:29.02,+21:20:29.4",0.031,Ic,18,1,,
SN2017ewx,6/19/17,"14:02:16.520,14:02:16.5504,14:02:16.56,14:02:16.52","+07:40:44.21,+07:40:44.3273,+07:40:44.4,+07:40:44.3",0.015179,Ib,16,1,,
SN2017ens,6/5/17,04:09.4,-01:55:52.25,0.1086,Ic BL,2,,,
SN2017eiy,5/26/17,"23:49:28.272,23:49:28.32","-30:25:04.69,-30:25:04.8",0.047,IIb,6,1,,
SN2017ein,5/25/17,"11:52:53.250,11:52:53.28","+44:07:26.20,+44:07:26.04",0.002699,Ic,447,1,,
SN2017ecp,5/16/17,"14:14:48.930,14:14:48.96","-29:33:36.76,-29:33:37.08",0.02,Ibn,3,,,
SN2017dio,4/26/17,36:27.8,+18:17:46.92,0.037,Ic,85,1,,
SN2017dgk,4/21/17,54:41.7,-26:35:01.60,"0.058,0.065",Ic,2,1,,
SN2017dgy,4/20/17,"12:54:16.260,12:54:16.26","-06:12:38.01,-06:12:38.0",0.074,Ib,9,1,,
SN2017dgd,4/19/17,"16:45:38.967,16:45:38.97,16:45:38.98","+01:37:19.70,+01:37:20.2,+01:37:20.28",0.022,IIb,14,1,,
SN2017dcc,4/16/17,"12:49:04.890,12:49:04.9104,12:49:04.8","-12:12:22.42,-12:12:22.5684,-12:12:22.68",0.0245,Ic BL,8,1,,
SN2017dch,4/15/17,"19:55:35.696,19:55:35.76","-11:38:22.70,-11:38:22.56",0.048,Ic,4,1,,
SN2017ddc,4/11/17,"11:55:41.640,11:55:41.64","+24:55:07.50,+24:55:07.5",0.034,Ic,3,1,,
SN2017cxz,4/9/17,"17:19:19.780,17:19:19.66","+57:53:55.80,+57:53:54.6",0.0289,Ib,20,1,,
AT2017csd,4/1/17,56:26.6,+04:58:49.45,0.03,Ib/c,2,,,
SN2017civ,3/22/17,"09:52:31.290,09:52:31.2","-21:57:54.94,-21:57:54.36,-21:57:54.72",0.029,IIn,7,,,
SN2017cjd,3/19/17,50:30.2,-18:35:44.96,0.023,Ic,2,1,,
SN2017cao,3/6/17,"19:24:02.189,19:24:02.16","+42:17:21.08,+42:17:21.12",0.02,IIb,11,1,,
SN2017bgu,2/22/17,55:59.5,+42:33:36.01,0.008503,Ib,2,2,,
SN2017ati,2/6/17,"09:49:56.700,9:49:56.6856,09:49:56.64,09:49:56.70","+67:10:59.56,+67:10:59.7756,+67:10:59.52",0.01305,IIb,24,1,,
SN2017wj,1/29/17,24:08.9,+39:51:43.64,0.051,Ib,1,,,
SN2017mw,1/20/17,"09:57:20.966,09:57:20.88","-41:35:20.98,-41:35:21.12",0.0117,IIb,12,1,,
SN2017jo,1/13/17,"09:57:36.144,09:57:36.24,09:57:36.14","-22:10:23.91,-22:10:23.88,-22:10:23.9",0.023,IIb,25,1,,
SN2017rt,1/10/17,"11:43:29.260,11:43:29.25","-16:47:37.27,-16:47:37.2",0.012208,Ic,18,1,,
SN2017hl,1/9/17,"12:07:18.830,12:07:18.72","+16:50:26.02,+16:50:26.16",0.023073,Ib,2,1,,
SN2016jdw,12/29/16,"13:16:19.620,13:16:19.6296,13:16:19.59","+30:40:32.67,+30:40:32.6784,+30:40:32.6",0.0189,Ib,11,1,,
SN2016jev,12/28/16,"04:10:48.940,04:10:48.93","+05:28:21.78,+05:28:21.7",0.032,Ib,42,,,
SN2016jca,12/25/16,"06:06:51.430,06:06:52.08","-26:47:29.50,-26:48:03.6",0.1475,Ic BL,1,,,
SN2016jag,12/23/16,"05:12:52.68,15:23:19.790,05:12:52.670,15:23:19.92","-12:38:14.64,-04:09:19.50,-12:38:14.63,-04:09:20.34",0.006701,CV,16,,,
SN2016iye,12/19/16,45:19.7,-71:24:17.90,0.03,IIb,5,1,,
SN2016iyc,12/18/16,"22:09:14.280,22:09:14.4","+21:31:17.51,+21:31:17.4",0.012685,IIb,5,,,
SN2016ino,11/25/16,"17:22:44.460,17:22:44.4","+62:09:44.40,+62:09:44.28",0.031,Ic BL,5,1,,
DES16X2dqz,11/16/16,24:51.4,-06:49:28.6,0.204,Ib/c?,1,,,
SN2016iae,11/7/16,"04:12:05.530,04:12:05.52","-32:51:44.75,-32:51:44.64",0.003468,Ic,12,2,,
OGLE16eun,10/23/16,55:14.5,-68:07:43.9,0.057,Ic,1,1,,
SN2020mbe,10/22/16,"02:08:34.230,02:08:34.440,02:08:34.44","+29:14:11.10,+29:14:09.10,+29:14:09.24",0.021935,IIb,7,1,,
SN2016hgs,10/20/16,50:51.4,+27:22:47.99,0.017,Ib,53,1,,
OGLE16ekf,10/3/16,37:36.7,-71:48:17.4,"0.068,0.062",IIb,1,1,,
SN2016gqv,9/28/16,"04:02:48.530,04:02:48.53","+01:58:15.60,+01:58:15.5",0.012,Ic Pec,9,1,,
SN2016gsk,9/27/16,41:10.0,-05:05:58.25,0.021,Ic,1,1,,
SN2016flq,9/26/16,"00:28:36.510,00:28:36.51","-01:33:03.10,-01:33:03.1",0.06,Ic,6,1,,
DES16X2bvf,9/25/16,18:36.3,-06:30:37.0,0.135,Ib,1,,,
SN2016glo,9/22/16,"02:39:43.350,02:39:43.34","-16:00:08.26,-16:00:08.2",0.0482,Ib/c,10,1,,
SN2016gkm,9/21/16,"08:42:53.063,08:42:53.04","+25:04:15.32,+25:04:15.24",0.017295,Ib/c,23,,,
DES16X2bda,9/21/16,24:11.1,-06:01:56.3,0.236,Ib/c?,1,,,
SN2016gkg,9/20/16,"01:34:14.40,01:34:14.460,01:34:14.448,01:34:14.41","-29:26:24.2,-29:26:25.00,-29:26:24.36",0.0049,IIb,596,2,,
SN2016ghi,9/13/16,"02:55:02.364,02:55:02.376,02:55:02.36","-23:09:44.75,-23:09:44.64,-23:09:44.7",0.042,Ic,22,1,,
DES16X3bdb,9/10/16,23:12.4,-04:10:38.2,0.229,Ib/c,1,,,
SN2016gcm,9/8/16,"21:04:55.220,21:04:55.18,21:04:55.22","+65:42:29.30,+65:42:28.9",0.0224227,Ic?,12,1,,
SN2016iks,9/4/16,"23:07:21.472,23:07:21.6","+02:54:28.37,+02:54:28.224,+02:54:28.296",0.063,Ia-02ic-like,30,1,,
SN2016fxu,8/27/16,"01:53:58.970,01:53:58.96","-00:45:01.98,-00:45:01.9",0.016,Ic,5,1,,
SN2016frp,8/27/16,21:32.5,-05:57:24.29,0.027,Ib,1,1,,
DES16C1zb,8/26/16,35:19.1,-26:15:41.9,0.13,IIb,1,,,
DES16S1kt,8/25/16,51:07.5,+00:01:33.00,0.0682,IIb,1,1,,
SN2016fhn,8/21/16,"01:34:40.150,01:34:40.14,01:34:40.15","+55:25:08.33,+55:25:08.3",0.025,Ic,5,1,,
SN2016exv,8/9/16,"03:39:34.382,03:39:34.392","+20:42:30.42,+20:42:30.24",0.021218,IIb,14,1,,
SN2016emb,7/28/16,"20:23:37.200,20:23:37.2","+82:49:15.10,+82:49:14.88",0.059,Ic,7,,,
SN2016eld,7/27/16,"17:21:12.237,17:21:12.24","+01:59:23.17,+01:59:23.172",0.039,Ic,6,,,
SN2016ejf,7/25/16,"05:01:41.800,05:01:41.784,05:01:25.827,05:01:25.824,05:01:41.78,05:01:41.808","+03:34:28.40,+03:34:28.38,-09:57:38.63,-09:57:38.628,+03:34:28.4,+03:34:28.416",0.028,Ib/c,25,1,,
SN2016cyj,6/26/16,"12:06:57.585,12:06:57.6","+27:18:04.93,+27:18:03.96,+27:18:05.04",0.05598,IIn,4,,,
SN2016coi,5/27/16,"21:59:04.08,21:59:04.14,21:59:04.140,21:59:04.1376","+18:11:10.68,+18:11:10.5,+18:11:10.46,+18:11:10.3308,+18:11:11.04",0.003646,Ic BL,721,,,
SN2016cdd,5/14/16,31:53.6,-51:44:50.83,0.008731,Ib,2,1,,
iPTF16asu,5/11/16,59:09.4,+13:48:10.8,0.187,Ic BL,51,,,
SN2016dzl,5/9/16,"23:07:32.70,23:07:32.64","+15:20:22.7,+15:20:22.56",,Ib,5,,,
SN2016dyn,5/6/16,"22:37:45.42,22:37:45.36,22:37:45.43","+23:47:13.9,+23:47:13.92,+23:47:14.1",0.00532,Ic,16,,,
SN2016cce,4/29/16,"13:33:27.20,13:33:27.2088,13:33:27.12,13:33:27.09","+05:28:57.8,+05:28:57.8258,+05:28:55.704,+05:28:55.8",0.022,Ic,14,1,,
SN2016cgq,4/29/16,10:43.9,+53:35:59.5,0.05,IIb,14,,,
SN2016bmd,4/12/16,"07:20:24.16,07:20:24.14,07:20:24.24","+32:51:02.6,+32:51:02.2,+32:51:01.08",0.0142,IIb,8,,,
SN2016blz,4/10/16,"15:40:29.23,15:40:29.28,13:28:47.00","+00:54:36.4,+00:54:37.12,-27:39:04.5",0.01173,II,61,2,,
SN2016blt,4/4/16,15:45.8,-47:38:15.0,0.016,IIb,1,1,,
SN2016bll,3/31/16,"08:33:18.30,8:33:18.3072,08:33:18.25","+19:20:44.8,+19:20:44.808",0.01914,Ib,14,1,,
SN2016bke,3/20/16,"12:52:12.61,12:52:12.48,12:52:12.60","+48:09:11.6,+48:09:11.52",0.09,Ib,13,,,
SN2016bkj,3/20/16,"15:59:38.88,15:59:38.96","+19:05:04.92,+19:05:05.0",0.03168,Ib,9,,,
SN2016bir,3/18/16,"13:14:05.90,13:14:05.87","+33:55:09.7,+33:55:09.6",0.032,Ib,13,1,,
SN2016bhr,3/17/16,25:20.6,+32:28:55.9,0.013926,IIb,1,1,,
SN2016bau,3/13/16,"11:20:59.02,11:20:59.0352,11:20:59.01,11:20:59","+53:10:25.6,+53:10:25.3056",0.003856,Ib,23,2,,
SN2016bas,3/12/16,38:05.5,-55:11:47.0,0.009,IIb,1,1,,
SN2016blq,3/12/16,"11:08:55.51,11:08:55.52",-29:01:26.4,0.04,IIb,1,1,,
SN2016aws,3/6/16,"10:19:34.610,10:19:34.62,10:19:34.61","-01:00:32.60,-01:00:32.6",0.043,Ib,17,,,
SN2016avh,2/28/16,"10:25:47.880,10:25:47.88","-11:25:17.60,-11:25:17.6,-11:25:17.5",0.038,IIb,20,,,
SN2016dsl,2/24/16,"13:17:13.20,13:17:13.2,13:17:13.22","-17:15:06.5,-17:15:06.48",0.008,Ib/c,19,1,,
SN2016dst,2/23/16,"04:55:54.70,04:55:54.68,04:55:54.672","-29:34:13.6,-29:34:13.7,-29:34:13.8",0.074,Ic BL,3,1,,
SN2016dsg,2/21/16,"06:07:08.20,06:07:08.17,06:07:08.16","-45:10:52.2,-45:10:52.32",0.039,I Pec,23,1,,
SN2016ajo,2/20/16,44:12.5,+24:09:29.7,"0.016,0.014",Ib,2,2,,
SN2019fcb,2/14/16,"18:30:29.94,18:30:29.019,18:30:29.04,18:30:30,18:30:29.03","+74:07:18.7,+74:07:15.89,+74:07:15.6,+74:07:18.84,+74:07:15.8,+74:07:15.96",0.024757,Ibn,35,,,
SN2016adj,2/8/16,"13:25:24.110,13:25:24.119","-43:00:57.50,-43:00:57.90",0.001825,IIb,14,3,,
SN2016P,1/19/16,"13:57:31.13,13:57:31.10","+06:05:51.6,+06:05:51.0",0.014617,Ic,1,1,,
SN2016M,1/15/16,"07:16:37.75,07:16:37.66","+67:53:32.3,+67:53:32.2",0.036,IIb,12,1,,
SN2016G,1/9/16,"03:03:57.74,03:03:57.696","+43:24:03.5,+43:24:03.6",0.009146,Ic BL,76,1,,
SN2016Q,1/7/16,10:19.9,+19:26:48.2,0.103,Ibn,5,,,
SN2016U,1/4/16,34:19.3,"+03:24:25.5,+03:24:25.4",0.074,IIb,11,,,
SN2015bi,12/31/15,"14:32:15.310,14:32:15.31,14:32:15.36","+26:19:32.02,+26:19:32.0,+26:19:31.44,+26:19:32.16",0.016014,IIb,5,2,,
OGLE15xx,12/29/15,35:40.3,-66:20:48.5,0.21,Ic Pec,19,1,,
ASASSN-15um,12/28/15,"05:40:05.191,05:40:05.19,05:40:05.304","-80:22:22.63,-80:22:22.6,-80:22:23.16",0.02,Ic,1,1,,
PSN J08123984-7953078,12/26/15,12:39.8,-79:53:07.8,0.01489,Ib,1,,,
DES15C3oeb,12/21/15,29:50.3,-27:42:40.0,0.326,Ib/c,1,,,
AT2015dd,12/15/15,10:23.4,-43:18:43.7,0.006,Ib,1,,,
ASASSN-15tu,12/8/15,"22:34:02.580,22:34:02.58,22:34:02.64","-32:23:53.58,-32:23:53.6,-32:23:53.52",0.0126,IIb,1,,,
CSS151130:014258+273410,11/30/15,42:58.4,+27:34:10.5,0.04,IIb?,1,1,,
OGLE15vk,11/28/15,24:41.0,"-74:47:15.2,-74:47:15.3",0.05,Ic,23,1,,
PS15cyo,11/27/15,39:23.9,+06:24:18.4,0.031,Ia,60,1,,
SN2015av,11/16/15,29:36.5,-43:50:27.7,0.023,Ic,1,1,,
SN2015bb,11/16/15,"14:51:37.83,14:51:37.00","+40:35:51.4,+40:35:51.0",0.016345,Ib/c,1,,,
OGLE15rb,11/14/15,12:52.0,-61:52:00.3,"0.028,0.036",Ic,26,1,,
ASASSN-15ta,11/14/15,"20:29:33.030,20:29:33.03,20:29:33.36","-61:57:03.42,-61:57:03.4,-61:57:03.6",0.015,Ib,1,1,,
SN2015au,11/10/15,30:59.4,-13:59:56.1,"0.016,0.025",IIb,1,1,,
PTF15dtg,11/7/15,30:20.1,+37:14:06.7,0.0524,Ic,209,,,
PS15cvn,11/7/15,"00:09:21.67,00:09:21.677","-00:04:06.5,-00:04:06.78",0.065,Ic,19,1,,
iPTF15dtg,11/7/15,30:20.1,+37:14:06.7,0.0524,Ic,127,,,
DES15E2mhi,11/2/15,36:11.9,-44:01:30.6,0.2084,Ib/c,1,,,
DES15C1mat,10/29/15,39:08.1,-26:11:27.0,0.12,Ib/c,1,,,
ASASSN-15re,10/13/15,"20:48:07.780,20:48:07.78,20:48:07.68","+16:23:01.33,+16:23:01.3,+16:23:01.32",0.030314,Ic Pec,1,1,,
PS15cjr,10/12/15,38:07.3,+01:23:29.2,0.0229,IIb,35,,,
ASASSN-15qz,10/11/15,"01:25:36.090,01:25:36.09,01:25:36.096","-41:27:55.84,-41:27:55.8",0.021638,IIb,1,1,,
OGLE15jy,9/28/15,"06:00:44.62,06:00:44.63",-72:38:30.3,0.06,Ib/c?,22,1,,
iPTF15eqv,9/27/15,52:08.3,+32:56:39.4,0.00529,IIb,1,,,
SN2015ap,9/8/15,05:13.3,+06:06:08.4,0.01138,Ib/c-BL,49,1,,
PS15cer,9/6/15,"22:41:14.79,22:41:14.76","-21:47:42.1,-21:47:41.7",0.015,Ib,17,,,
PS15bvb,8/30/15,37:18.5,-05:02:10.2,0.022,Ib/IIb,10,1,,
PSN J01101191+3313536,8/17/15,10:11.9,+33:13:53.6,0.018,IIb,1,,,
OGLE15eo,8/15/15,"03:02:15.55,03:02:15.552","-74:17:12.2,-74:17:12.3,-74:17:12.12",0.064,Ia,60,1,,
PS15bqc,8/6/15,04:32.3,+01:20:58.5,0.023,IIb,9,,,
SN2015ah,8/6/15,00:24.6,+01:37:36.8,0.016,Ib Pec,9,16,,
SN2015ag,8/6/15,42:21.9,+29:38:41.5,0.0162,Ic,1,1,,
ASASSN-15no,8/3/15,"15:38:25.30,15:38:25.44","+46:54:06.6,+46:54:06.12",0.043,Ic,106,,,
PS15bhi,7/14/15,05:57.6,-10:42:39.2,0.027,Ib,13,,,
ASASSN-15mj,7/12/15,"14:02:15.640,14:02:15.64,14:02:15.6","+33:39:40.29,+33:39:40.3,+33:39:40.32",0.034371,Ib,31,1,,
PSN J02513304+3730434,7/12/15,51:33.0,+37:30:43.4,0.02,Ib/c,1,1,,
SN2015dj,7/10/15,46:05.0,-10:59:48.4,0.0089,Ib,1,,,
PS15bgt,7/9/15,"17:29:29.18,22:46:05.04","+75:42:39.0,-10:59:47.9,-10:59:48.4","0.0044,0.0089",Ib,31,15,,
PS15bap,6/29/15,31:27.6,+48:28:24.8,0.05,Ic,12,,,
PS15ays,6/27/15,17:48.5,+26:03:42.0,0.04,Ib,1,,,
PS15axw,6/25/15,52:23.9,+42:03:27.6,0.04,Ic,17,,,
SN2016dsb,6/23/15,"01:58:59.71,01:58:59.712,01:58:59.710","-32:22:18.5,-32:22:18.48,-32:22:18.49",0.0161,IIb,15,1,,
SN2015Q,6/17/15,"11:47:35.08,11:47:35.12","+55:58:14.7,+55:58:15.4",0.008,Ib,12,,,
PSN J17162885+0625585,6/12/15,16:28.9,+06:25:58.5,0.023,IIb,1,,,
ASASSN-15kj,5/31/15,"01:58:11.53,01:58:11.592","-39:32:49.7,-39:32:49.2",0.018453,Ic,1,,,
PS15apj,5/12/15,"18:28:58.23,18:28:58.26","+22:54:10.6,+22:54:08.3",0.014,IIb,4,,,
PS15ajp,5/11/15,18:44.8,+06:06:57.6,,Ib/c,1,,,
SN2015K,4/25/15,"23:35:52.26,23:35:52.32","+23:36:52.1,+23:36:51.84",0.010184,Ic,70,,,
SN2015Y,4/11/15,"09:02:37.87,09:02:37.92","+25:56:04.2,+25:56:03.84",0.008,Ib,23,,,
PS15zq,4/7/15,35:18.4,+19:03:00.2,0.021,IIb,1,,,
CSS150325:140426+514417,3/25/15,"14:04:26.0,14:04:26.04","+51:44:17,+51:44:16.8",0.046,Ic,1,1,,
SN2015G,3/23/15,37:25.6,+66:07:11.5,0.00475,Ibn,5,20,,
ASASSN-15ed,3/1/15,"16:48:25.16,16:48:25.2","+50:59:30.7,+50:59:30.6,+50:59:30.84",0.04866,Ibn,9,15,,
Gaia15acs,2/22/15,"20:58:07.66,20:58:07.68","-51:47:07.4,-51:47:08.16",0.02,Ib,15,1,,
LSQ15rw,2/22/15,32:31.3,-13:39:27.4,0.021,IIb,1,1,,
LSQ15mj,2/16/15,"15:32:52.11,15:32:52.10","-15:16:54.3,-15:16:54.4",0.024,II,4,,,
SN2015U,2/13/15,28:53.9,+33:49:10.6,0.01379,Ibn,128,21,,
PSN J10234760+3348477,2/13/15,23:47.6,+33:48:47.7,0.034,IIb?,1,,,
LSQ15hj,1/24/15,11:36.2,-04:40:43.3,0.065,II,1,1,,
PSN J05521661+4650211,1/23/15,52:16.6,+46:50:21.1,0.0224,Ic?,1,1,,
CSS150120:095828+411135,1/20/15,58:27.6,+41:11:34.9,0.05,IIb,1,,,
Gaia15aam,1/8/15,"16:18:04.79,16:18:04.8","+14:24:14.5,+14:24:14.4",0.05,Ib/c,85,,,
ASASSN-15bd,1/8/15,"15:54:38.33,15:54:38.4","+16:36:38.1,+16:36:38.16",0.007946,IIb,1,,,
iPTF15dld,1/1/15,58:13.3,-03:39:50.3,0.047,Ic,38,,,
ASASSN-14ms,12/26/14,"13:04:08.69,13:04:08.64","+52:18:46.5,+52:18:46.44","0.065,0.063,0.054",Ib,43,6,,
LSQ15cj,12/24/14,31:20.9,-04:02:42.2,"0.054,0.034",Ic,1,1,,
SN2015bn,12/23/14,"11:33:41.57,11:33:41.52","+00:43:32.2,+00:43:32.3,+00:43:33.46",0.1136,Ic,893,38,,
LSQ14gqk,12/18/14,32:46.7,-07:18:26.1,0.04,Ib/c,1,1,,
SN2014ef,12/13/14,56:39.7,-09:54:02.8,0.02,Ib,1,,,
LSQ14ggv,12/2/14,30:57.3,-10:03:00.4,0.06,Ib-IIb,1,1,,
SNhunt268,11/30/14,"01:14:26.8,01:14:26.75,01:14:26.82,01:14:26.808","+42:33:18,+42:33:19.1,+42:33:18.4,+42:33:18.36",0.0197,II,1,1,,
OGLE-2014-SN-131,11/7/14,14:00.8,-77:06:16.5,0.085,Ibn,46,4,,
SN2014ei,11/5/14,"05:03:16.36,05:03:16.39","-02:56:11.4,-02:56:11.0",0.01444,Ib,1,,,
SN2014eh,11/3/14,"20:25:03.86,20:25:03.85","-24:49:13.3,-24:49:13.6",0.010614,Ic,22,4,,
MASTER OT J120451.50+265946.6,11/2/14,"12:04:51.50,12:04:51.6","+26:59:46.6,+26:59:46.68",0.00189,Ib,4,1,,
AT2014ge,10/28/14,04:51.5,+26:59:46.6,0.00189,Ib,1,,,
CSS141028:081814+044553,10/28/14,"08:18:13.89,08:18:13.90","+04:45:52.6,+04:45:52.7",0.009,Ib,1,,,
LSQ14gac,10/23/14,45:39.8,-32:07:04.5,0.072,Ib,1,1,,
SN2014ds,10/11/14,11:16.4,+25:10:47.4,0.0137,IIb,1,2,,
LSQ14ftp,10/2/14,19:05.7,-22:18:30.4,0.063,Ic,1,1,,
CSS141005:022316-070520,9/30/14,"02:23:16.0,02:23:15.64,02:23:15.65","-07:05:20,-07:05:20.8,-07:05:20.5",0.045,Ic,1,,,
PSN J22081243+4110503,9/28/14,08:12.4,+41:10:50.3,0.018,Ic,1,1,,
SN2014dp,9/28/14,19:38.0,-22:34:14.7,0.018,Ib,1,1,,
SN2014dj,9/24/14,57:40.2,"+43:47:35.1,+43:47:34.2,+43:47:43.2",0.018,Ic,1,3,,
Gaia14aam,9/18/14,"12:05:35.59,12:05:35.52","+49:28:21.7,+49:28:21.72",0.08,Ib/c,18,,,
LSQ14fig,9/8/14,00:58.8,-16:06:52.8,0.04,Ic,1,1,,
DES14E2ag,8/17/14,39:22.2,-44:04:03.4,0.2263,Ic,1,,,
OGLE-2014-SN-067,8/15/14,"04:57:50.49,04:57:50.43","-74:00:39.5,-74:00:39.9",0.0187,Ic,48,1,,
LSQ14efd,8/3/14,35:38.8,-58:52:38.3,0.08,Ic,108,,,
ASASSN-14dq,7/8/14,"21:57:59.97,21:58:00.0","+24:16:08.1,+24:16:08.04",0.010424,II,590,,,
ASASSN-14dd,6/24/14,"07:45:14.380,07:45:14.38,07:45:14.64","-71:24:14.04,-71:24:14.0,-71:24:14.4",0.017722,Ibn,1,,,
ASASSN-14de,6/23/14,"10:40:39.33,10:40:39.36,10:40:39","+39:03:52.7,+39:03:52.56,+39:53:02",0.029284,Ic,1,1,,
SN2014cp,6/23/14,25:30.5,-25:37:38.0,0.016164,Ic BL,1,10,,
SN2014cq,6/20/14,23:29.6,-63:40:28.3,0.011,IIb,1,1,,
LSQ14cnl,6/18/14,50:23.9,+00:34:17.8,0.0549,Ib,1,,,
SN2014cl,6/16/14,16:09.1,-11:56:02.6,0.006304,IIb,1,,,
SN2014df,6/3/14,44:24.0,-44:40:08.1,0.003,Ib,2,1,,
PSN J11220840-3804001,5/31/14,22:08.4,-38:04:00.1,0.01,IIb,1,,,
SN2014bt,5/31/14,43:11.1,-38:58:05.8,0.016,Ib/c,1,,,
SN2014bk,5/28/14,54:02.4,+20:00:24.3,0.0697,Ibn,1,1,,
ASASSN-14az,5/20/14,"23:44:48.000,23:44:48.00,23:44:48","-02:07:03.17,-02:07:03.2,-02:07:01.488,-02:07:02.136,-02:07:01.344,-02:07:03.18",0.006731,IIb,25,1,,
SN2014bl,5/20/14,25:38.8,+25:57:33.9,0.0377,Ic,1,1,,
CSS140505:143511+134946,5/5/14,"14:35:11.0,14:35:10.54","+13:49:46,+13:49:46.5",,Ic-lum?,1,,,
SN2014br,5/5/14,59:50.7,-61:33:22.2,0.028,Ib/c,1,,,
PSN J09430082+3146486,5/2/14,43:00.8,+31:46:48.6,0.022,IIb,1,,,
SNhunt242,4/24/14,"20:04:11.74,20:04:11.7,20:04:11.76","-19:46:39.6,-19:46:40,-19:46:39.72",0.068,IIb,1,,,
LSQ14bef,4/22/14,27:41.8,-08:36:45.5,0.05,Ic BL,1,1,,
CSS140421:142042+031602,4/21/14,"14:20:41.70,14:20:41.71",+03:16:01.5,0.064,Ibn,1,15,,
SN2014av,4/19/14,00:20.0,+52:29:28.0,0.030154,Ibn,1,7,,
SN2014ar,4/18/14,40:58.9,-44:29:05.7,0.010576,Ic,1,,,
SN2014as,4/18/14,00:54.5,+40:58:59.6,0.012469,Ic BL,1,1,,
LSQ14ayl,4/9/14,57:35.2,-14:36:31.7,0.055,Ic,1,1,,
